brand_id;model;version;vehicle_type;condition;seller_type;year;mileage;price;ancien_prix;price_type;seats;doors;sliding_door;country;city;fuel_type;power_hp;power_kw;cylinder;towing_capacity;weight;drive;transmission;fuel_consumption;emission_standard;dpf;exterior_color;tow_bar;parking_radar;interior_color;interior_material;air_conditioning;service_book;safety_compliant;warranty;full_service;non_smoker;previous_owners;ct_valid_days;exterior_extras;interior_extras;has_photos;has_video;export_available;is_demonstration;is_collaborator;is_collection;vat_status;description;vin;status
1;Classe C;C 220d AMG Line;berline;occasion;concessionnaire;2022;32000;38900;42500;fixe;5;4;;CH;Genève;diesel;200;147;;;;propulsion;automatique;;;0;Noir obsidien;;arriere;Beige;cuir;climatisation_automatique;1;0;1;0;1;1;;Jantes alliage 18"|Toit ouvrant|Phares LED;Navigation|Caméra recul|Sièges chauffants;1;0;1;0;0;0;recuperable;Superbe Mercedes Classe C en parfait état - entretien Mercedes complet - première main;WDD2050011F123456;actif
2;Série 3;320d xDrive M Sport;berline;occasion;concessionnaire;2021;58000;34500;;fixe;5;4;;CH;Lausanne;diesel;190;140;;;;4x4;automatique;;;0;Blanc alpinweiss;;arriere;Noir;cuir;climatisation_automatique;1;0;0;0;1;2;;Pack M Sport|Jantes 19"|Rétros chauffants;iDrive 7|HUD|Sièges sport;1;0;1;0;0;0;recuperable;BMW Série 3 xDrive idéale pour l'hiver suisse - carnet d'entretien BMW;WBA5R1C07LFJ12345;actif
3;A4;2.0 TDI S line;berline;occasion;concessionnaire;2020;74000;28900;31000;fixe;5;4;;CH;Zurich;diesel;150;110;;;;traction_avant;automatique;;;0;Gris daytona;;aucun;Noir;tissu;climatisation_automatique;1;0;0;0;0;2;;Pack S line|Phares Xenon;MMI Navigation|Bluetooth;1;0;0;0;0;0;recuperable;Audi A4 S line bien équipée - révision faite récemment;WAUZZZ8K7LA012345;actif
4;Tiguan;2.0 TDI Highline 4Motion;suv_pickup;occasion;concessionnaire;2022;41000;33500;;fixe;5;5;;CH;Berne;diesel;190;140;;;;4x4;automatique;;;0;Argent reflet;aucune;camera_360;Beige;cuir;climatisation_automatique;1;0;1;0;1;1;;Toit panoramique|Jantes 18";Discover Pro|Sièges chauffants|Caméra 360°;1;0;1;0;0;0;recuperable;VW Tiguan 4Motion première main - toutes options - état irréprochable;WVGZZZ5NZPW123456;actif
14;Cayenne;S E-Hybrid;suv_pickup;occasion;concessionnaire;2021;29000;79900;89000;fixe;5;5;;CH;Genève;hybride_plug_in;462;340;;;;4x4;automatique;;;0;Noir jet;aucune;camera_360;Bordeaux;cuir;climatisation_automatique;1;0;1;0;1;1;;Pack Sport Design|Toit panoramique|Jantes 21";PCM 4.0|BOSE Sound|Sièges ventilés|HUD;1;0;1;0;0;0;recuperable;Exceptionnel Porsche Cayenne hybride - full options - prise en charge garantie constructeur;WP1ZZZ9YZMDA12345;actif
5;RAV4;2.5 Hybrid AWD-i Style;suv_pickup;occasion;concessionnaire;2023;18000;39900;;fixe;5;5;;CH;Lausanne;hybride_rechargeable;222;163;;;;4x4;automatique;;;0;Blanc nacré;aucune;arriere;Noir;tissu;climatisation_automatique;1;0;1;0;1;1;;Jantes 18"|Caméra recul;Navigation|Apple CarPlay|Android Auto;1;0;0;0;0;0;recuperable;Toyota RAV4 hybride quasi neuf - faible kilométrage - garantie Toyota 2 ans;JTMRW3FV4PD123456;actif
8;Mégane;1.5 dCi Intens;berline;occasion;particulier;2020;88000;14900;16500;fixe;5;4;;FR;Annemasse;diesel;115;85;;;;traction_avant;manuelle;;;0;Bleu iron;;aucun;Noir;tissu;climatisation;0;0;0;0;0;3;;Jantes alliage;Navigation|Bluetooth;0;0;0;0;0;0;non_recuperable;Renault Mégane fiable et économique - idéale en ville;VF1BFB00163123456;actif
15;Range Rover Sport;P400e HSE Dynamic;suv_pickup;occasion;concessionnaire;2022;35000;68500;74000;fixe;5;5;;CH;Genève;hybride_plug_in;404;297;;;;4x4;automatique;;;0;Gris corris;aucune;camera_360;Beige;cuir;climatisation_automatique;1;0;1;0;1;1;;Toit panoramique|Jantes 22"|Barres de toit;Meridian Sound|Pivi Pro|Sièges massants|HUD;1;0;1;0;0;0;recuperable;Range Rover Sport hybride rechargeable - finition HSE Dynamic luxueuse;SALWA2RE7NA123456;actif
13;XC60;T8 Recharge AWD R-Design;suv_pickup;neuf;concessionnaire;2024;500;64900;;fixe;5;5;;CH;Berne;hybride_rechargeable;390;287;;;;4x4;automatique;;;0;Bleu denim;aucune;camera_360;Gris;cuir;climatisation_automatique;1;0;1;0;1;0;;Pack R-Design|Jantes 21"|Toit ouvrant;Google intégré|Bowers & Wilkins|Sièges ventilés;1;0;0;1;0;0;recuperable;Volvo XC60 neuf démonstration - garantie constructeur 5 ans;YV1UZA8V1P1234567;actif
11;EV6;GT-Line AWD 77.4 kWh;berline;occasion;concessionnaire;2023;22000;41500;46000;fixe;5;5;;CH;Zurich;electrique;325;239;;;;4x4;automatique;;;0;Vert glacé;;camera_360;Noir;tissu;climatisation_automatique;1;0;1;0;1;1;;Jantes 20"|Toit vitré;Head-Up Display|Chargeur sans fil|Bose Sound;1;0;1;0;0;0;recuperable;Kia EV6 AWD électrique 100% - charge rapide 800V - autonomie 500 km;KNDC3DLC3P5123456;actif
6;CR-V;e:HEV Advance AWD;suv_pickup;occasion;concessionnaire;2023;15000;42900;;fixe;5;5;;CH;Zurich;hybride_essence;184;135;;;;4x4;automatique;;;0;Rouge premium;aucune;camera_360;Gris;tissu;climatisation_automatique;1;0;1;0;1;1;;Jantes 18"|Caméra 360°;Honda Sensing|Apple CarPlay|Sièges chauffants;1;0;0;0;0;0;recuperable;Honda CR-V hybride - très économique - idéal pour la famille;MRHRU489XPJ123456;actif
7;Mustang Mach-E;GT AWD Extended Range;suv_pickup;occasion;concessionnaire;2022;27000;46500;52000;fixe;5;5;;CH;Genève;electrique;487;358;;;;4x4;automatique;;;0;Rouge rapid red;aucune;camera_360;Noir;cuir;climatisation_automatique;1;0;1;0;1;1;;Jantes 20"|Toit panoramique;Écran SYNC 4 15.5"|Bang & Olufsen|Sièges chauffants;1;0;1;0;0;0;recuperable;Ford Mustang Mach-E GT - performances SUV électrique - autonomie 480 km;3FMTK4SX6NMA12345;actif
9;3008;2.0 BlueHDi GT;suv_pickup;occasion;concessionnaire;2021;52000;27900;31500;fixe;5;5;;FR;Lyon;diesel;180;132;;2000;;4x4;automatique;5.5;;1;Gris platinium;detachable;camera_360;Noir;cuir;climatisation_automatique;1;0;1;0;1;2;;Toit panoramique|Jantes 19"|Phares Full LED;FOCAL Hi-Fi|Sièges AGR|Navigation 3D;1;0;1;0;0;0;non_recuperable;Peugeot 3008 GT diesel - parfaitement entretenu - carnet complet;VF3MCBHZXLS123456;actif
10;Tucson;1.6 T-GDI Hybrid Premium;suv_pickup;occasion;concessionnaire;2022;38000;28500;;fixe;5;5;;FR;Strasbourg;hybride_essence;230;169;;1650;;4x4;automatique;6.2;;0;Blanc cristal;aucune;camera_360;Beige;cuir;climatisation_automatique;1;0;1;0;1;1;;Toit ouvrant panoramique|Jantes 19"|LED Matrix;Navigation|Bose Harman|Sièges chauffants ventilés;1;0;1;0;0;0;recuperable;Hyundai Tucson Hybrid Premium - 1ère main - garantie constructeur;TMAH381AAPS123456;actif
12;Qashqai;1.3 DIG-T N-Connecta;suv_pickup;occasion;concessionnaire;2022;45000;22900;25000;fixe;5;5;;FR;Paris;essence;158;116;;1500;;traction_avant;automatique;7.2;Euro 6d;0;Gris gun metal;aucune;arriere;Noir;tissu;climatisation_automatique;1;0;0;0;1;2;;Toit vitré|Jantes 18";ProPilot|Navigation|Android Auto;1;0;0;0;0;0;non_recuperable;Nissan Qashqai propulsion efficace - faible conso - entretien Nissan;SJNFDAJ11U1234567;actif
1;GLC;300 4MATIC AMG Line;suv_pickup;occasion;concessionnaire;2023;25000;54900;61000;fixe;5;5;;CH;Genève;diesel;265;195;;3500;2000;4x4;automatique;6.8;Euro 6d;1;Noir obsidien;detachable;camera_360;Noir;cuir;climatisation_automatique;1;0;1;0;1;1;;Jantes AMG 20"|Toit panoramique|Phares Multibeam LED;MBUX|Burmester 3D|Sièges massants|HUD;1;1;1;0;0;0;recuperable;Mercedes GLC 300 AMG Line - options exclusives - véhicule de démonstration;WDC0G8EB0KF123456;actif
2;X3;xDrive30d M Sport;suv_pickup;occasion;concessionnaire;2022;33000;48900;54000;fixe;5;5;;CH;Zurich;diesel;286;210;;3500;;4x4;automatique;6.3;Euro 6d;1;Gris mineral;detachable;camera_360;Noir;cuir;climatisation_automatique;1;0;1;0;1;1;;Pack M Sport|Jantes M 20"|Toit ouvrant;iDrive 8|HUD|Bowers & Wilkins|Sièges sport;1;0;1;0;0;0;recuperable;BMW X3 xDrive30d M Sport - full options - excellent état;WBATX9105L7E12345;actif
3;Q5;40 TDI quattro S line;suv_pickup;occasion;concessionnaire;2021;61000;36900;42000;fixe;5;5;;CH;Berne;diesel;204;150;;4500;1900;4x4;automatique;6.1;Euro 6d;1;Gris quantum;detachable;camera_360;Beige;cuir;climatisation_automatique;1;0;1;0;1;2;;Pack S line|Virtual Cockpit|Toit ouvrant;MMI Navigation Plus|Bang & Olufsen|Matrix LED;1;0;1;0;0;0;recuperable;Audi Q5 S line quattro - très bien équipée - 2ème main;WAUZZZFY3L2012345;actif
4;Golf 8;GTI 2.0 TSI;berline;occasion;concessionnaire;2022;29000;32500;36000;fixe;5;5;;DE;Munich;essence;245;180;1984;;;traction_avant;automatique;7.5;Euro 6d;0;Rouge tornado;;aucun;Noir;tissu;climatisation_automatique;1;0;1;0;1;1;;Pack GTI|Jantes 18" Pretoria|Phares LED IQ;Cockpit Digital Pro|Navigation Discover Pro|Harman Kardon;1;0;1;0;0;0;recuperable;VW Golf 8 GTI 2ème main - finition parfaite - carnet VW;WVWZZZAUZNW123456;actif
5;Corolla;2.0 Hybrid GR Sport;berline;occasion;concessionnaire;2022;41000;26900;29500;fixe;5;4;;FR;Bordeaux;hybride_essence;196;145;;1500;;traction_avant;automatique;4.8;Euro 6d;0;Blanc nacré;aucune;arriere;Noir;tissu;climatisation_automatique;1;0;1;0;1;1;;Pack GR Sport|Jantes 18"|Toit ouvrant;Toyota Safety Sense|JBL Audio|Apple CarPlay;1;0;0;0;0;0;non_recuperable;Toyota Corolla Hybrid GR Sport - faible conso - entretien Toyota complet;JTDKBRFEXN3123456;actif
8;Captur;1.3 TCe Techno EDC;suv_pickup;occasion;concessionnaire;2023;19000;21900;;fixe;5;5;;FR;Nantes;essence;140;103;;1200;;traction_avant;automatique;6.2;Euro 6d;0;Orange atacama;aucune;arriere;Gris;tissu;climatisation_automatique;1;0;1;0;1;0;;Pack Techno|Jantes 18"|Caméra recul;Easy Link 9.3"|Apple CarPlay|Android Auto;1;0;0;0;0;0;non_recuperable;Renault Captur TCe 140 EDC - comme neuf - 1 seul propriétaire;VF1RJA00XNH123456;actif
9;e-208;GT Electric;berline;occasion;concessionnaire;2023;16000;26500;29900;fixe;5;4;;FR;Paris;electrique;136;100;;800;1500;traction_avant;automatique;;;0;Blanc banquise;aucune;arriere;Noir;tissu;climatisation_automatique;1;0;1;0;1;0;;Pack GT|Jantes Sabara 17";i-Cockpit 10"|Navigation 3D|Apple CarPlay;1;0;0;0;0;0;non_recuperable;Peugeot e-208 électrique - autonomie 340 km - garantie batterie;VR3UYHMZEMS123456;actif
10;Ioniq 5;77 kWh AWD Innovation;berline;occasion;concessionnaire;2022;31000;38500;44000;fixe;5;5;;DE;Francfort;electrique;320;235;;1600;2100;4x4;automatique;;;0;Vert digital;aucune;camera_360;Blanc;cuir;climatisation_automatique;1;0;1;0;1;1;;Toit solaire|Jantes 20"|Caméra 360°;Navigation HD|BOSE Sound|Sièges chauffants;1;0;1;0;0;0;recuperable;Hyundai Ioniq 5 AWD - charge ultra-rapide 800V - autonomie 481 km;KMHK341GHNU123456;actif
11;Niro;EV Premium;suv_pickup;occasion;concessionnaire;2022;24000;29900;33500;fixe;5;5;;FR;Paris;electrique;204;150;;750;1750;traction_avant;automatique;;;0;Vert forêt;aucune;arriere;Gris;tissu;climatisation_automatique;1;0;1;0;1;1;;Jantes 17"|Toit vitré;JBL Premium|Sièges chauffants|Chargeur sans fil;1;0;0;0;0;0;non_recuperable;Kia Niro EV Premium - autonomie 460 km - garantie batterie 7 ans;KNACC81CGN5123456;actif
